연도,월,관람객수,단체관람객수,전시,문화,학술,교육,기타,공휴일수,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),month_sin,month_cos,총축제방문객수
1990.0,7.0,91114.0,29748,0.0,0.0,0.0,0.0,0.0,1.0,25.6,30.3,22.0,34.8,15.9,237.1,70.3,-0.5,-0.866025403784439,0.0
1990.0,8.0,118544.0,20778,0.0,0.0,0.0,0.0,0.0,1.0,25.8,31.7,21.3,35.6,18.7,189.9,70.5,-0.866025403784438,-0.5,0.0
1990.0,9.0,123263.0,67932,0.0,0.0,0.0,0.0,0.0,0.0,20.9,26.6,16.3,32.3,8.4,215.4,70.3,-1.0,-1.83697019872103e-16,0.0
1990.0,10.0,210145.0,103733,0.0,0.0,0.0,0.0,0.0,5.0,13.4,21.3,7.6,25.5,2.8,3.6,3.4,-0.866025403784439,0.5,0.0
1990.0,11.0,144879.0,74767,0.0,0.0,0.0,0.0,0.0,0.0,8.7,15.4,3.7,20.3,-3.4,60.0,26.5,-0.5,0.866025403784438,0.0
1990.0,12.0,159188.0,43969,0.0,0.0,0.0,0.0,0.0,1.0,0.3,6.0,-4.1,16.2,-16.4,32.4,11.7,-2.44929359829471e-16,1.0,0.0
1991.0,1.0,61904.0,7782,0.0,0.0,0.0,0.0,0.0,2.0,-2.9,2.7,-7.5,10.0,-15.4,15.5,5.6,0.5,0.866025403784439,0.0
1991.0,2.0,35814.0,6961,0.0,0.0,0.0,0.0,0.0,3.0,-1.6,3.6,-6.0,10.3,-18.5,44.1,12.6,0.866025403784439,0.5,0.0
1991.0,3.0,117177.0,35571,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.9,-0.6,18.0,-6.0,75.1,29.0,1.0,6.12323399573677e-17,0.0
1991.0,4.0,281744.0,159174,0.0,0.0,0.0,0.0,0.0,1.0,11.5,19.8,4.3,26.5,-4.8,51.6,26.8,0.866025403784439,-0.5,0.0
1991.0,5.0,337056.0,183985,0.0,0.0,0.0,0.0,0.0,2.0,16.9,23.6,10.9,30.8,2.2,149.0,80.0,0.5,-0.866025403784439,0.0
1991.0,6.0,209979.0,103850,0.0,0.0,0.0,0.0,0.0,2.0,22.3,28.4,17.3,33.6,13.2,73.1,46.0,1.22464679914735e-16,-1.0,0.0
1991.0,7.0,85809.0,19277,0.0,0.0,0.0,0.0,0.0,1.0,24.5,28.8,20.9,32.2,16.1,229.3,56.5,-0.5,-0.866025403784439,0.0
1991.0,8.0,135514.0,16708,0.0,0.0,0.0,0.0,0.0,1.0,24.4,30.0,19.7,34.7,13.4,94.3,40.0,-0.866025403784438,-0.5,0.0
1991.0,9.0,106873.0,45353,0.0,0.0,0.0,0.0,0.0,3.0,19.7,25.4,15.2,30.4,7.6,294.0,68.5,-1.0,-1.83697019872103e-16,0.0
1991.0,10.0,226053.0,128729,0.0,0.0,0.0,0.0,0.0,1.0,12.2,19.9,5.8,26.2,0.6,18.7,11.2,-0.866025403784439,0.5,0.0
1991.0,11.0,117718.0,64259,0.0,0.0,0.0,0.0,0.0,0.0,5.1,12.0,-0.6,18.0,-8.0,11.8,6.0,-0.5,0.866025403784438,0.0
1991.0,12.0,154277.0,44790,0.0,0.0,0.0,0.0,0.0,1.0,1.5,7.1,-3.0,16.6,-12.0,47.5,13.5,-2.44929359829471e-16,1.0,0.0
1992.0,1.0,76937.0,7052,0.0,0.0,0.0,0.0,0.0,2.0,-0.9,4.1,-4.8,10.4,-11.0,9.3,3.0,0.5,0.866025403784439,0.0
1992.0,2.0,51197.0,7160,0.0,0.0,0.0,0.0,0.0,3.0,-0.1,5.5,-5.1,18.6,-11.4,16.2,8.4,0.866025403784439,0.5,0.0
1992.0,3.0,113382.0,38632,0.0,0.0,0.0,0.0,0.0,2.0,6.1,12.2,0.7,19.4,-4.5,23.2,9.0,1.0,6.12323399573677e-17,0.0
1992.0,4.0,258541.0,163975,0.0,0.0,0.0,0.0,0.0,1.0,11.2,18.5,4.7,22.9,-0.3,77.4,29.0,0.866025403784439,-0.5,0.0
1992.0,5.0,281755.0,166441,0.0,0.0,0.0,0.0,0.0,2.0,15.8,22.6,9.9,29.1,4.9,51.0,25.0,0.5,-0.866025403784439,0.0
1992.0,6.0,192224.0,120577,0.0,0.0,0.0,0.0,0.0,1.0,20.0,26.3,14.2,30.2,7.9,46.0,34.0,1.22464679914735e-16,-1.0,0.0
1992.0,7.0,83331.0,17578,0.0,0.0,0.0,0.0,0.0,1.0,25.1,30.2,21.1,33.9,17.1,128.5,47.5,-0.5,-0.866025403784439,0.0
1992.0,8.0,145718.0,16724,0.0,0.0,0.0,0.0,0.0,1.0,24.5,29.5,20.4,33.4,17.3,331.5,162.5,-0.866025403784438,-0.5,0.0
1992.0,9.0,100443.0,46517,0.0,0.0,0.0,0.0,0.0,3.0,19.9,25.2,15.1,31.6,5.4,139.5,90.5,-1.0,-1.83697019872103e-16,0.0
1992.0,10.0,179642.0,95974,0.0,0.0,0.0,0.0,0.0,1.0,12.8,19.7,7.3,24.7,0.5,18.0,5.0,-0.866025403784439,0.5,0.0
1992.0,11.0,92307.0,38057,0.0,0.0,0.0,0.0,0.0,0.0,5.4,12.2,0.2,19.6,-10.3,41.4,11.5,-0.5,0.866025403784438,0.0
1992.0,12.0,151029.0,28639,0.0,0.0,0.0,0.0,0.0,2.0,1.2,6.2,-3.3,14.4,-11.2,51.6,20.5,-2.44929359829471e-16,1.0,0.0
1993.0,1.0,81080.0,3162,0.0,0.0,0.0,0.0,0.0,5.0,-2.5,2.8,-7.0,7.6,-13.6,3.2,2.3,0.5,0.866025403784439,0.0
1993.0,2.0,65962.0,5892,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.3,-4.3,18.9,-9.1,68.6,32.0,0.866025403784439,0.5,0.0
1993.0,3.0,100271.0,25815,0.0,0.0,0.0,0.0,0.0,1.0,4.4,11.2,-1.3,18.0,-7.5,29.8,9.5,1.0,6.12323399573677e-17,0.0
1993.0,4.0,257685.0,143741,0.0,0.0,0.0,0.0,0.0,1.0,10.1,17.1,3.8,27.0,-2.8,31.0,16.0,0.866025403784439,-0.5,0.0
1993.0,5.0,255278.0,124141,0.0,0.0,0.0,0.0,0.0,2.0,17.3,24.4,11.1,30.5,6.5,59.0,28.0,0.5,-0.866025403784439,0.0
1993.0,6.0,154169.0,93097,0.0,0.0,0.0,0.0,0.0,1.0,21.1,26.4,16.8,30.0,11.0,139.0,50.0,1.22464679914735e-16,-1.0,0.0
1993.0,7.0,80952.0,6264,0.0,0.0,0.0,0.0,0.0,1.0,23.2,28.0,19.2,32.4,13.9,323.5,110.5,-0.5,-0.866025403784439,0.0
1993.0,8.0,171571.0,13545,0.0,0.0,0.0,0.0,0.0,1.0,22.3,27.0,18.2,31.8,13.1,163.5,26.5,-0.866025403784438,-0.5,14516.66666666667
1993.0,9.0,107014.0,51983,0.0,0.0,0.0,0.0,0.0,2.0,20.0,26.7,14.1,30.4,8.5,122.5,92.0,-1.0,-1.83697019872103e-16,0.0
1993.0,10.0,169252.0,80964,0.0,0.0,0.0,0.0,0.0,2.0,11.9,19.0,5.5,25.5,-0.6,48.0,21.5,-0.866025403784439,0.5,0.0
1993.0,11.0,89320.0,47253,0.0,0.0,0.0,0.0,0.0,0.0,7.7,12.7,3.3,19.4,-9.1,66.9,23.5,-0.5,0.866025403784438,0.0
1993.0,12.0,142824.0,25551,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,4.9,-4.6,11.1,-11.4,25.7,8.5,-2.44929359829471e-16,1.0,0.0
1994.0,1.0,66698.0,1453,0.0,0.0,0.0,0.0,0.0,2.0,-1.7,3.7,-6.6,10.8,-15.8,9.1,3.5,0.5,0.866025403784439,0.0
1994.0,2.0,40851.0,3548,0.0,0.0,0.0,0.0,0.0,3.0,-0.2,6.1,-5.5,12.5,-14.9,10.1,4.6,0.866025403784439,0.5,0.0
1994.0,3.0,80539.0,23835,0.0,0.0,0.0,0.0,0.0,1.0,3.3,9.1,-2.2,19.2,-7.3,39.5,14.5,1.0,6.12323399573677e-17,0.0
1994.0,4.0,205019.0,113534,0.0,0.0,0.0,0.0,0.0,1.0,13.6,22.0,6.0,28.7,-0.1,13.5,12.5,0.866025403784439,-0.5,0.0
1994.0,5.0,210357.0,113239,0.0,0.0,0.0,0.0,0.0,2.0,17.6,24.0,11.6,29.2,5.2,106.5,29.5,0.5,-0.866025403784439,0.0
1994.0,6.0,135089.0,72412,0.0,0.0,0.0,0.0,0.0,1.0,22.1,28.5,16.2,34.8,9.8,160.5,141.5,1.22464679914735e-16,-1.0,0.0
1994.0,7.0,47219.0,9806,0.0,0.0,0.0,0.0,0.0,1.0,28.4,34.0,24.0,37.7,21.2,98.0,45.5,-0.5,-0.866025403784439,0.0
1994.0,8.0,125321.0,7603,0.0,0.0,0.0,0.0,0.0,1.0,27.0,32.1,22.5,36.1,16.3,418.0,115.0,-0.866025403784438,-0.5,14516.66666666667
1994.0,9.0,81535.0,33576,0.0,0.0,0.0,0.0,0.0,3.0,20.0,26.3,14.1,32.2,8.3,52.0,47.0,-1.0,-1.83697019872103e-16,0.0
